172.64.229.0:2096#JP 电信优选[103ms 4.82Mbps]
172.64.229.7:443#NRT-6.14MB/s
172.64.229.29:2087#JP 电信优选[83ms 2.26Mbps]
172.64.229.51:8443#JP 电信优选[91ms 4.25Mbps]
172.64.229.55:443#JP 电信优选[64ms 25.59Mbps]
172.64.229.142:443#JP 电信优选[98ms 4.45Mbps]
172.64.229.161:2053#JP 电信优选[78ms 14.17Mbps]
172.64.229.194:443#JP 电信优选[74ms 19.61Mbps]
172.64.229.201:8443#JP 电信优选[101ms 5.02Mbps]
172.64.229.206:443#JP 电信优选[182ms 20.15Mbps]
172.64.229.238:8443#JP 电信优选[97ms 17.44Mbps]
172.64.229.242:2087#JP 电信优选[69ms 49.64Mbps]
172.64.229.41:8443#JP 电信优选[70ms 44.06Mbps]
172.64.229.159:2087#JP 电信优选[70ms 29.14Mbps]
172.64.229.93:8443#JP 电信优选[70ms 53.76Mbps]
172.64.229.200:8443#JP 电信优选[71ms 31.71Mbps]
172.64.229.170:2083#JP 电信优选[72ms 25.07Mbps]
172.64.229.191:2096#JP 电信优选[72ms 19.50Mbps]
172.64.229.23:2096#JP 电信优选[78ms 22.25Mbps]
172.64.229.22:2087#JP 电信优选[94ms 26.04Mbps]
172.64.229.16:443#JP 电信优选[160ms 19.88Mbps]
172.64.229.177:443#NRT-JP-8.97MB/s
172.64.229.210:443#NRT-JP-9.17MB/s
172.64.229.232:443
172.64.229.104:2083
172.64.229.197:2096
172.64.229.116:443#JP 电信优选[76ms 24.09Mbps]
172.64.229.92:443#JP 电信优选[79ms 51.62Mbps]
172.64.229.192:443#JP 电信优选[79ms 19.64Mbps]
172.64.229.107:443#JP 电信优选[80ms 32.26Mbps]
172.64.229.110:443#JP 电信优选[82ms 41.17Mbps]
172.64.229.73:443#JP 电信优选[82ms 18.44Mbps]
172.64.229.156:443#JP 电信优选[86ms 64.01Mbps]
172.64.229.153:443#JP 电信优选[93ms 22.23Mbps]
172.64.229.137:443#JP 电信优选[95ms 23.25Mbps]
172.64.229.134:443#JP 电信优选[96ms 61.03Mbps]
172.64.229.101:443#JP 电信优选[97ms 44.30Mbps]
172.64.229.95:443#JP 电信优选[100ms 59.62Mbps]
172.64.229.251:443#JP 电信优选[100ms 52.73Mbps]
172.64.229.98:443#JP 电信优选[104ms 66.24Mbps]
172.64.229.176:443#JP 电信优选[105ms 48.15Mbps]
172.64.229.68:443#JP 电信优选[106ms 62.25Mbps]
172.64.229.254:443#JP 电信优选[107ms 24.64Mbps]
172.64.229.67:443#JP 电信优选[111ms 56.07Mbps]
172.64.229.136:443#JP 电信优选[111ms 61.29Mbps]
172.64.229.58:443#JP 电信优选[111ms 62.91Mbps]
172.64.229.64:443#JP 电信优选[118ms 49.43Mbps]
172.64.229.66:443#JP 电信优选[121ms 57.40Mbps]
172.64.229.34:443#JP 电信优选[123ms 41.29Mbps]
172.64.229.94:443#JP 电信优选[124ms 25.33Mbps]
172.64.229.9:443#JP 电信优选[124ms 44.43Mbps]
172.64.229.212:443#JP 电信优选[129ms 24.98Mbps]
172.64.229.157:443#JP 电信优选[135ms 25.17Mbps]
172.64.229.39:443#JP 电信优选[137ms 56.66Mbps]
172.64.229.213:443#JP 电信优选[138ms 58.30Mbps]
172.64.229.131:443#JP 电信优选[139ms 24.38Mbps]
172.64.229.115:443#JP 电信优选[139ms 58.35Mbps]
172.64.229.109:443#JP 电信优选[140ms 30.37Mbps]
172.64.229.243:443#JP 电信优选[149ms 51.38Mbps]
172.64.229.122:443#JP 电信优选[171ms 44.56Mbps]
172.64.229.175:443#JP 电信优选[175ms 42.69Mbps]
172.64.229.18:443#JP 电信优选[189ms 18.08Mbps]
172.64.229.246:443#JP 电信优选[227ms 38.04Mbps]
172.64.229.188:443#JP 电信优选[232ms 18.65Mbps]

